Input_Term,Hiscox_COB,Full_Industry_Code,PL,GL,BOP,Cyber,Source
Computerized environmental control systems for buildings manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Damper operators (e.g., electric, pneumatic, thermostatic) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electric air cleaner controls, automatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electric heat proportioning controls, modulating controls, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electric space heater controls, automatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Energy cutoff controls, residential and commercial types, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fan controls, temperature responsive, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Flame safety controls for furnaces and boilers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Float controls, residential and commercial types, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Gas burner automatic controls (except valves) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Gradual switches, pneumatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Heating and cooling system controls, residential and commercial, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Heating regulators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Humidistats (e.g., duct, skeleton, wall) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Humidity controls, air-conditioning-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Hydronic circulator control, automatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Hydronic limit control manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Hydronic limit, pressure, and temperature controls, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Ice bank controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ice maker controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Ignition controls for gas appliances and furnaces, automatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"In-built thermostats, filled system and bimetal types, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Incinerator control systems, residential and commercial-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Light responsive appliance controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Limit controls (e.g., air-conditioning, appliance, heating) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Line or limit control for electric heat manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Liquid level controls, residential and commercial heating-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Oven temperature controls, nonindustrial, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pneumatic relays, air-conditioning-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pressure controllers, air-conditioning system-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Pressurestats manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Primary oil burner controls (e.g., cadmium cells, stack controls) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Refrigeration controls, residential and commercial-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Refrigeration thermostats manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Refrigeration/air-conditioning defrost controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Room thermostats manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Sequencing controls for electric heating equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Static pressure regulators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Steam pressure controls, residential and commercial heating-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Surface burner controls, temperature, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Switches, pneumatic positioning remote, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Switches, thermostatic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Temperature controls, automatic, residential and commercial-types, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Temperature sensors for motor windings manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Thermocouples, glass vacuum, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Thermostats (e.g., air-conditioning, appliance, comfort heating, refrigeration) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Time program controls, air-conditioning systems, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Vapor heating controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Water heater controls manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Absorption analyzers, industrial process type (e.g., infrared), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Acidity (i.e., pH) instruments, industrial process type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Analyzers, industrial process control type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Annunciators, relay and solid-state types, industrial display, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Boiler controls, industrial, power, and marine-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Buoyancy instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Chromatographs, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Combustion control instruments (except commercial, household furnace-type) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Controllers for process variables (e.g., electric, electronic, mechanical, pneumatic operation) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Coulometric analyzers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Data loggers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Density and specific gravity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Differential pressure instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Digital displays of process variables manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Display instruments, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Draft gauges, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electric and electronic controllers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Electrodes used in industrial process measurement manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Electrolytic conductivity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Electromagnetic flowmeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Flow instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Fluidic devices, circuits, and systems for process control, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gas analyzers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gas and liquid analysis instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gas chromatographic instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gas flow instrumentation, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gauges (i.e., analog, digital), industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Humidity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Hydrometers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Hygrometers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Indicators, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Industrial process control instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Infrared instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Instruments for industrial process control manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Level and bulk measuring instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Liquid analysis instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Liquid concentration instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Liquid level instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Magnetic flow meters, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Manometers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Measuring instruments, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Mechanical measuring instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Meters, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Moisture meters, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nanofluidic measurement and control devices manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Panelboard indicators, recorders, and controllers, receiver industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pneumatic controllers, industrial process type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Potentiometric instruments (except X-Y recorders), industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pressure gauges (e.g., dial, digital), industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pressure instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Primary elements for process flow measurement (i.e., orifice plates) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Primary process temperature sensors manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Process control instruments, industrial, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Programmers, process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pyrometers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Recorders, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Refractometers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Resistance thermometers and bulbs, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Telemetering instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Temperature instruments, industrial process-type (except glass and bimetal thermometers), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Thermal conductivity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Thermistors, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Thermocouples, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Thermometers, filled system industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Time cycle and program controllers, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Transmitters, industrial process control-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Turbidity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Turbine flow meters, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Variable control instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Viscosimeters, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Viscosity instruments, industrial process-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Water quality monitoring and control systems manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Consumption meters (e.g., gas, water) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Controls, revolution and timing instruments, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Counter type registers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Counters (e.g., electrical, electronic, mechanical), totalizing, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Counters, revolution, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Counting devices manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electromechanical counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electronic totalizing counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Fare collection equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Gasmeters, consumption registering, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gasmeters, large capacity, domestic and industrial, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Gasoline dispensing meters (except pumps) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Gauges (e.g., oil pressure, water temperature, speedometer, tachometer), motor vehicle, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Gauges for computing pressure-temperature corrections manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Impeller and counter driven flow meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Instrument panels, assembling gauges made in the same establishment",OOA,                                    ,No,No,No ,No,NAICS
"Integrating meters, nonelectric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Linear counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Liquid flow meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Magnetic counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Measuring wheels manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Metering devices (except electrical and industrial process control) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Meters (except electrical and industrial process control) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Meters, parking, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Motor vehicle instruments (e.g., fuel level gauges, oil pressure, speedometers, tachometers, water temperature) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Parking meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Pedometers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Positive displacement meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Predetermined counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Production counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Propeller type meters with registers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Registers, linear tallying, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Rotary type meters, consumption registering, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Tally counters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Tallying meters (except clocks, electricity meters, watches) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Tank truck meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Taximeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Totalizing fluid meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Totalizing meters (except aircraft), consumption registering, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Turbine meters, consumption registering, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Watermeters, consumption registering, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Alternator and generator testers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ampere-hour meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Analyzers for testing electrical characteristics manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Audiofrequency oscillators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Audiometers (except medical) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Automotive ammeters and voltmeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Automotive electrical engine diagnostic equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Battery testers, electrical, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Bridges, electrical (e.g., Kelvin, megohm, vacuum tube, Wheatstone), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Circuit testers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Communications signal testing and evaluation equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Current measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Decade boxes (i.e., capacitance, inductance, resistance) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Demand meters, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Digital panel meters, electricity measuring, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Digital test equipment (e.g., electronic and electrical circuits and equipment testing) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Diode and transistor testers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Distortion meters and analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Elapsed time meters, electronic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Electrical network analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electrical power measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electricity and electrical signal measuring instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electricity and electrical signal testing equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electron tube test equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electronic test equipment for testing electrical characteristics manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Energy measuring equipment, electrical, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Field strength and intensity measuring equipment, electrical, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Frequency meters (e.g., electrical, electronic, mechanical) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Frequency synthesizers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Function generators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Galvanometers (except geophysical) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Graphic recording meters, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Ignition testing instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Impedance measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Indicating instruments, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Instrument shunts manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Instruments for measuring electrical quantities manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Instruments, electric (i.e., testing electrical characteristics), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Integrated-circuit testers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Integrating electricity meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Internal combustion engine analyzers (i.e., testing electrical characteristics) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Kelvin bridges (i.e., electrical measuring instruments) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Laboratory standards testing instruments (e.g., capacitance, electrical resistance, inductance) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Logic circuit testers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Measuring equipment for electronic and electrical circuits and equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Measuring instruments and meters, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Meters, electrical (i.e., graphic recording, panelboard, pocket, portable), manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Meters, power factor and phase angle, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Microwave test equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Multimeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Ohmmeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Oscillators (e.g., instrument type audiofrequency and radiofrequency) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Oscilloscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Phase angle meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Portable test meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Potentiometric instruments (except industrial process-type) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Power factor meters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Power measuring equipment, electrical, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Pulse (i.e., signal) generators manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Radar testing instruments, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Radiofrequency measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Radiofrequency oscillators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Recorders, oscillographic, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Relays (except electrical, electronic), instrument, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Resistance measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Semiconductor test equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Shunts, instrument, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Signal generators and averagers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Spark plug testing instruments, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Spectrum analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Standards and calibration equipment for electrical measuring manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Standing wave ratio measuring equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Stroboscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Sweep generators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Sweep oscillators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Synchroscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Tachometer generators manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Test equipment for electronic and electrical circuits and equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Test sets, ignition harness, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Voltmeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Watt-hour and demand meters, combined, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Watt-hour and time switch meters, combined, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Watt-hour meters, electric, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Wattmeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Waveform measuring and/or analyzing equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Wheatstone bridges (i.e., electrical measuring instruments) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"X-Y recorders (i.e., plotters (except computer peripheral equipment)) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Acidity (i.e., pH) measuring equipment, laboratory analysis-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Amino acid analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Atomic force microscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Automatic chemical analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Blood bank process equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Chromatographic instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Chronoscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Colorimeters, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Coulometric analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Densitometers, laboratory analytical, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Differential thermal analysis instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electrolytic conductivity instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Electron microprobes, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Electron microscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electron paramagnetic spin-type apparatus manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Electrophoresis instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Elemental analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Flame photometers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Gas analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Gas chromatographic instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Hematology instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Immunology instruments, laboratory, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Infrared analytical instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Laboratory analytical instruments (except optical) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Liquid chromatographic instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Magnetic resonance imaging (MRI) type apparatus (except medical diagnostic) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Mass spectrometers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Mass spectroscopy instrumentation manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Microbiology instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Microprobes (e.g., electron, ion, laser, X-ray) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Microscopes, electron and proton, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Moisture analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Monochrometers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Nanomanipulator equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Nanosensor instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Nephelometers (except meteorological) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Neutron activation analysis instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Osmometers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Particle beam excitation instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Particle size analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Photometers (except photographic exposure meters) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Photonexcitation analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Polariscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Polarizers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Polarographic equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Protein analyzers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Redox (i.e., oxidation-reduction potential) instruments manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Refractometers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Resonance instruments (i.e., laboratory-type) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Sample analysis instruments (except medical) manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Scanning tunneling microscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Specific ion measuring instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Spectrofluorometers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Spectrographs manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Spectrometers (e.g., electron diffraction, mass, NMR, Raman) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
"Spectrophotometers (e.g., atomic absorption, atomic emission, flame, fluorescence, infrared, Raman, visible) manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Surface area analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Thermal analysis instruments, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Thermal conductivity instruments and sensors manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Thermogravimetric analyzers manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Titrimeters manufacturing,OOA,                                    ,No,No,No ,No,NAICS
"Turbidometers, laboratory-type, manufacturing",OOA,                                    ,No,No,No ,No,NAICS
Ultraviolet-type analytical instruments manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Beta-ray irradiation equipment manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Computerized axial tomography (CT/CAT) scanners manufacturing,OOA,                                    ,No,No,No ,No,NAICS
CT/CAT (computerized axial tomography) scanners manufacturing,OOA,                                    ,No,No,No ,No,NAICS
Fluoroscopes manufacturing,OOA,                                    ,No,No,No ,No,NAICS
